FID,ASA,CTEXP,eTH,eU,KPERC,MAGIGRF,MDT,ThetaMap,THKRAZAO,UKRAZAO,UTHRAZAO,X,Y,Cod_Litho,Geologia_R,INDICELATE
33000,1.391663821,14.5686,33.2842,4.6322,1.3226,-44.04,1017.668,0.414741556,25.8446,2.9392,0.1142,326327.0,7946600.0,1,Coberturas detrítico-lateríticas,1.5594511053366278
33001,1.418128891,14.6224,33.5233,4.6803,1.2919,-30.078,1018.322,0.505474291,25.5529,2.9218,0.1148,326327.0,7946607.0,1,Coberturas detrítico-lateríticas,1.56015928265954
33002,1.444593962,14.6762,33.7624,4.7284,1.2612,-15.955,1018.976,0.580579312,25.2612,2.9044,0.1154,326327.0,7946614.0,1,Coberturas detrítico-lateríticas,1.5608329619546966
33003,1.48618193,14.73,34.0015,4.7765,1.2305,5.216,1019.63,0.679374781,24.9695,2.887,0.116,326327.0,7946621.0,1,Coberturas detrítico-lateríticas,1.5614736034815506
33004,1.497524103,14.7838,34.2406,4.8246,1.1998,12.18,1020.284,0.703381443,24.6778,2.8696,0.1166,326327.0,7946628.0,1,Coberturas detrítico-lateríticas,1.5620825978889954
33005,1.523989174,14.8376,34.4797,4.8727,1.1691,25.825,1020.938,0.755642898,24.3861,2.8522,0.1172,326327.0,7946635.0,1,Coberturas detrítico-lateríticas,1.5626612700204836
33006,1.550454245,14.8914,34.7188,4.9208,1.1384,38.96,1021.592,0.803500686,24.0944,2.8348,0.1178,326327.0,7946642.0,1,Coberturas detrítico-lateríticas,1.5632108824832187
33007,1.565577142,14.9452,34.9579,4.9689,1.1077,45.3,1022.246,0.82918195,23.8027,2.8174,0.1184,326327.0,7946649.0,1,Coberturas detrítico-lateríticas,1.5637326389977535
33008,1.618507284,14.999,35.197,5.017,1.077,68.949,1022.9,0.91127213,23.511,2.8,0.119,326327.0,7946656.0,1,Coberturas detrítico-lateríticas,1.564227687543083
33009,1.633630181,14.6723,34.0536,4.9051,1.1265,74.367,1021.514,0.932830761,23.097,2.7578,0.1194,326327.0,7946663.1,1,Coberturas detrítico-lateríticas,1.5631993090505047
33010,1.660095252,14.3456,32.9102,4.7932,1.176,84.528,1020.128,0.968843518,22.683,2.7156,0.1198,326327.0,7946670.2,1,Coberturas detrítico-lateríticas,1.5620293986993457
33011,1.686560323,14.0189,31.7668,4.6813,1.2255,93.734,1018.742,1.002895377,22.269,2.6734,0.1202,326327.0,7946677.3,1,Coberturas detrítico-lateríticas,1.560697476732418
33012,1.713025393,13.6922,30.6234,4.5694,1.275,101.96,1017.356,1.035202949,21.855,2.6312,0.1206,326327.0,7946684.4,1,Coberturas detrítico-lateríticas,1.5591794803626329
